symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
SAPR4,SBSP3,SANEPAR,SABESP,Utilities,Utilities,Water and Sanitation,Water and Sanitation,Water and Sanitation,Water and Sanitation,Within-sector,True,0.3333525224047572,5778,initial macro-sector classification
FESA4,USIM5,FERBASA,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Metallurgy,Steel,Within-sector,True,0.3330170885466383,6373,initial macro-sector classification
CPLE3,TRPL4,COPEL,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Transmission,Within-sector,True,0.3329931569939627,6181,initial macro-sector classification
FESA4,GGBR3,FERBASA,GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Metallurgy,Steel,Within-sector,True,0.3311644839662235,5643,initial macro-sector classification
ALPA4,LREN3,ALPARGATAS,LOJAS RENNER,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,Footwear,Apparel,Within-sector,False,0.3296150313508617,5042,initial macro-sector classification
GOAU3,KLBN4,METALURGICA GERDAU,KLABIN,Basic Materials,Basic Materials,Steel and Metallurgy,Paper and Cellulose,Holdings,Paper and Cellulose,Within-sector,False,0.3274261892599358,5381,initial macro-sector classification
KLBN4,VALE3,KLABIN,VALE,Basic Materials,Basic Materials,Paper and Cellulose,Mining,Paper and Cellulose,Minerals,Within-sector,False,0.3267820473350009,5949,initial macro-sector classification
CPLE6,SAPR4,COPEL,SANEPAR,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.323836322879641,5744,initial macro-sector classification
CPLE3,SAPR4,COPEL,SANEPAR,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.3235501204895436,5701,initial macro-sector classification
BRKM5,VALE3,BRASKEM,VALE,Basic Materials,Basic Materials,Chemicals,Mining,Petrochemicals,Minerals,Within-sector,False,0.3232626174203404,5783,initial macro-sector classification
CCRO3,POMO4,CCR,MARCOPOLO,Industrials,Industrials,Transportation,Transportation Equipment,Infrastructure,Commercial Vehicles,Within-sector,False,0.3184498437873184,5656,initial macro-sector classification
GGBR4,UNIP6,GERDAU,UNIPAR,Basic Materials,Basic Materials,Steel and Metallurgy,Chemicals,Steel,Chemicals,Within-sector,False,0.3164680098069125,6173,initial macro-sector classification
ALPA4,GRND3,ALPARGATAS,GRENDENE,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Apparel and Footwear,Footwear,Footwear,Within-sector,True,0.3160622565423269,5196,initial macro-sector classification
BRKM5,USIM3,BRASKEM,USIMINAS,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Steel,Within-sector,False,0.3135810163679314,5609,initial macro-sector classification
GRND3,GUAR3,GRENDENE,GUARARAPES,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,Footwear,Apparel,Within-sector,False,0.313234570451607,5201,initial macro-sector classification
CMIG4,SAPR4,CEMIG,SANEPAR,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.3129768242981829,5778,initial macro-sector classification
GOAU4,UNIP6,METALURGICA GERDAU,UNIPAR,Basic Materials,Basic Materials,Steel and Metallurgy,Chemicals,Holdings,Chemicals,Within-sector,False,0.3082194911699184,6878,initial macro-sector classification
FESA4,GOAU3,FERBASA,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Metallurgy,Holdings,Within-sector,True,0.2994119772361185,5671,initial macro-sector classification
